0.1  70 
 1e-10  0.1  10000.0 
 1.73684745347e-10  0.1  10000.0 
 3.01663907663e-10  0.1  10000.0 
 5.23944189828e-10  0.1  10000.0 
 9.10011131863e-10  0.1  10000.0 
 1.58055051701e-09  0.1  10000.0 
 2.74517514054e-09  0.1  10000.0 
 4.76795045218e-09  0.1  10000.0 
 8.28120260114e-09  0.1  10000.0 
 1.43831856495e-08  0.1  10000.0 
 2.49813993681e-08  0.1  10000.0 
 4.33888798766e-08  0.1  10000.0 
 7.53598655225e-08  0.1  10000.0 
 1.30888590527e-07  0.1  10000.0 
 2.27333515145e-07  0.1  10000.0 
 3.94843636867e-07  0.1  10000.0 
 6.85783165212e-07  0.1  10000.0 
 1.19110074413e-06  0.1  10000.0 
 2.06876029427e-06  0.1  10000.0 
 3.59312104894e-06  0.1  9999.99999999 
 6.24070314387e-06  0.1  9999.99999999 
 1.08391493633e-05  0.1  9999.99999998 
 1.88259489694e-05  0.1  9999.99999996 
 3.26978015267e-05  0.1  9999.99999994 
 5.67910933157e-05  0.1  9999.99999989 
 9.86374658052e-05  0.1  9999.99999981 
 0.000171318231301  0.1  9999.99999967 
 0.000297553633767  0.1  9999.99999942 
 0.00051680527108  0.1  9999.999999 
 0.000897611919015  0.1  9999.99999826 
 0.00155901497575  0.1  9999.99999697 
 0.00270777119055  0.1  9999.99999474 
 0.00470298549688  0.1  9999.99999087 
 0.00816836838397  0.1  9999.99998414 
 0.0141872098267  0.1  9999.99997245 
 0.0246410192594  0.1  9999.99995215 
 0.0427976915515  0.1  9999.99991689 
 0.0743330615857  0.1  9999.99985564 
 0.129105188724  0.1  9999.99974927 
 0.224236018265  0.1  9999.99956453 
 0.389463757299  0.1  9999.99924365 
 0.676439135084  0.1  9999.99868634 
 1.1748715892  0.1  9999.99771837 
 2.04057272785  0.1  9999.99603716 
 3.54416354599  0.1  9999.99311715 
 6.15567142954  0.1  9999.98804553 
 10.6914622468  0.1  9999.97923692 
 18.5694389772  0.1  9999.96393769 
 32.2522828  0.1  9999.93736527 
 56.0172952497  0.1  9999.89121304 
 97.2934966048  0.1  9999.81105364 
 168.983961817  0.1  9999.67182899 
 293.49936376  0.1  9999.43001702 
 509.763622541  0.1  9999.01002651 
 885.381649682  0.1  9998.28056706 
 1537.7728636  0.0999999999999  9997.01360728 
 2670.87688216  0.0999999999999  9994.81309141 
 4638.90571131  0.0999999999998  9990.99113103 
 8057.07157158  0.0999999999997  9984.35296887 
 13993.9042415  0.0999999999995  9972.82349382 
 24305.276946  0.0999999999992  9952.79855445 
 42214.5583696  0.0999999999985  9918.01828949 
 73320.2482035  0.0999999999975  9857.61027487 
 127346.08638  0.0999999999955  9752.69076848 
 221180.725839  0.0999999999921  9570.46159096 
 384157.18043  0.0999999999858  9253.95730792 
 667222.420562  0.0999999999735  8704.23764945 
 1158863.56205  0.099999999947  7749.4584589 
 2012769.22667  0.0999999998816  6091.15264733 
 5149341.9437  0.0999996922529  0.0 
0.115139539933  72 
 1e-10  0.115139539933  10000.0 
 1.73684745347e-10  0.115139539933  10000.0 
 3.01663907663e-10  0.115139539933  10000.0 
 5.23944189828e-10  0.115139539933  10000.0 
 9.10011131863e-10  0.115139539933  10000.0 
 1.58055051701e-09  0.115139539933  10000.0 
 2.74517514054e-09  0.115139539933  10000.0 
 4.76795045218e-09  0.115139539933  10000.0 
 8.28120260114e-09  0.115139539933  10000.0 
 1.43831856495e-08  0.115139539933  10000.0 
 2.49813993681e-08  0.115139539933  10000.0 
 4.33888798766e-08  0.115139539933  10000.0 
 7.53598655225e-08  0.115139539933  10000.0 
 1.30888590527e-07  0.115139539933  10000.0 
 2.27333515145e-07  0.115139539933  10000.0 
 3.94843636867e-07  0.115139539933  10000.0 
 6.85783165212e-07  0.115139539933  10000.0 
 1.19110074413e-06  0.115139539933  10000.0 
 2.06876029427e-06  0.115139539933  10000.0 
 3.59312104894e-06  0.115139539933  10000.0 
 6.24070314387e-06  0.115139539933  10000.0 
 1.08391493633e-05  0.115139539933  9999.99999999 
 1.88259489694e-05  0.115139539933  9999.99999999 
 3.26978015267e-05  0.115139539933  9999.99999998 
 5.67910933157e-05  0.115139539933  9999.99999996 
 9.86374658052e-05  0.115139539933  9999.99999994 
 0.000171318231301  0.115139539933  9999.99999989 
 0.000297553633767  0.115139539933  9999.99999981 
 0.00051680527108  0.115139539933  9999.99999967 
 0.000897611919015  0.115139539933  9999.99999943 
 0.00155901497575  0.115139539933  9999.99999901 
 0.00270777119055  0.115139539933  9999.99999829 
 0.00470298549688  0.115139539933  9999.99999703 
 0.00816836838397  0.115139539933  9999.99999483 
 0.0141872098267  0.115139539933  9999.99999103 
 0.0246410192594  0.115139539933  9999.99998442 
 0.0427976915515  0.115139539933  9999.99997294 
 0.0743330615857  0.115139539933  9999.999953 
 0.129105188724  0.115139539933  9999.99991836 
 0.224236018265  0.115139539933  9999.99985821 
 0.389463757299  0.115139539933  9999.99975373 
 0.676439135084  0.115139539933  9999.99957227 
 1.1748715892  0.115139539933  9999.9992571 
 2.04057272785  0.115139539933  9999.9987097 
 3.54416354599  0.115139539933  9999.99775894 
 6.15567142954  0.115139539933  9999.99610762 
 10.6914622468  0.115139539933  9999.99323952 
 18.5694389772  0.115139539933  9999.98825808 
 32.2522828  0.115139539933  9999.97960608 
 56.0172952497  0.115139539933  9999.96457887 
 97.2934966048  0.115139539933  9999.9384789 
 168.983961817  0.115139539933  9999.89314724 
 293.49936376  0.115139539933  9999.81441305 
 509.763622541  0.115139539933  9999.67766378 
 885.381649682  0.115139539933  9999.44015116 
 1537.7728636  0.115139539933  9999.02762796 
 2670.87688216  0.115139539933  9998.3111381 
 4638.90571131  0.115139539932  9997.06670451 
 8057.07157158  0.115139539932  9994.90531319 
 13993.9042415  0.115139539932  9991.15130619 
 24305.276946  0.115139539932  9984.63116869 
 42214.5583696  0.115139539931  9973.30668447 
 73320.2482035  0.11513953993  9953.6377829 
 127346.08638  0.115139539927  9919.47590128 
 221180.725839  0.115139539923  9860.14192418 
 384157.18043  0.115139539916  9757.0878571 
 667222.420562  0.115139539904  9578.098663 
 1158863.56205  0.115139539881  9267.22173663 
 2012769.22667  0.115139539837  8727.27593745 
